Training on CPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5676: Episode: 141, R100:  35.83, MaxR:  119.00, R:  10.00, FPS:  862.4, L100:  0.00, Epsilon:  0.2233
Frame: 5689: Episode: 142, R100:  35.61, MaxR:  119.00, R:  13.00, FPS:  883.1, L100:  0.00, Epsilon:  0.2232
Frame: 5698: Episode: 143, R100:  35.20, MaxR:  119.00, R:  9.00, FPS:  860.9, L100:  0.00, Epsilon:  0.2232
Frame: 5712: Episode: 144, R100:  35.01, MaxR:  119.00, R:  14.00, FPS:  894.1, L100:  0.00, Epsilon:  0.2231
Frame: 5722: Episode: 145, R100:  34.85, MaxR:  119.00, R:  10.00, FPS:  858.6, L100:  0.00, Epsilon:  0.2231
Frame: 5735: Episode: 146, R100:  34.69, MaxR:  119.00, R:  13.00, FPS:  882.0, L100:  0.00, Epsilon:  0.2230
Frame: 5744: Episode: 147, R100:  34.43, MaxR:  119.00, R:  9.00, FPS:  880.4, L100:  0.00, Epsilon:  0.2230
Frame: 5752: Episode: 148, R100:  34.15, MaxR:  119.00, R:  8.00, FPS:  860.2, L100:  0.00, Epsilon:  0.2229
Frame: 5764: Episode: 149, R100:  33.74, MaxR:  119.00, R:  12.00, FPS:  866.9, L100:  0.00, Epsilon:  0.2229
Frame: 5776: Episode: 150, R100:  33.31, MaxR:  119.00, R:  12.00, FPS:  883.8, L100:  0.00, Epsilon:  0.2228
Frame: 5787: Episode: 151, R100:  33.15, MaxR:  119.00, R:  11.00, FPS:  869.6, L100:  0.00, Epsilon:  0.2228
Frame: 5796: Episode: 152, R100:  32.73, MaxR:  119.00, R:  9.00, FPS:  875.0, L100:  0.00, Epsilon:  0.2227
Frame: 5808: Episode: 153, R100:  32.54, MaxR:  119.00, R:  12.00, FPS:  868.9, L100:  0.00, Epsilon:  0.2227
Frame: 5821: Episode: 154, R100:  32.31, MaxR:  119.00, R:  13.00, FPS:  877.9, L100:  0.00, Epsilon:  0.2226
Frame: 5829: Episode: 155, R100:  32.01, MaxR:  119.00, R:  8.00, FPS:  860.1, L100:  0.00, Epsilon:  0.2226
Frame: 5839: Episode: 156, R100:  31.67, MaxR:  119.00, R:  10.00, FPS:  877.2, L100:  0.00, Epsilon:  0.2226
Frame: 5849: Episode: 157, R100:  31.41, MaxR:  119.00, R:  10.00, FPS:  881.5, L100:  0.00, Epsilon:  0.2225
Frame: 5858: Episode: 158, R100:  31.04, MaxR:  119.00, R:  9.00, FPS:  860.1, L100:  0.00, Epsilon:  0.2225
Frame: 5871: Episode: 159, R100:  30.45, MaxR:  119.00, R:  13.00, FPS:  880.8, L100:  0.00, Epsilon:  0.2224
Frame: 5881: Episode: 160, R100:  29.63, MaxR:  119.00, R:  10.00, FPS:  861.4, L100:  0.00, Epsilon:  0.2224
Frame: 5890: Episode: 161, R100:  29.20, MaxR:  119.00, R:  9.00, FPS:  846.5, L100:  0.00, Epsilon:  0.2223
Frame: 5900: Episode: 162, R100:  28.79, MaxR:  119.00, R:  10.00, FPS:  861.4, L100:  0.00, Epsilon:  0.2223
Frame: 5911: Episode: 163, R100:  28.36, MaxR:  119.00, R:  11.00, FPS:  862.9, L100:  0.00, Epsilon:  0.2222
Frame: 5919: Episode: 164, R100:  27.75, MaxR:  119.00, R:  8.00, FPS:  852.4, L100:  0.00, Epsilon:  0.2222
Frame: 5927: Episode: 165, R100:  26.86, MaxR:  119.00, R:  8.00, FPS:  856.4, L100:  0.00, Epsilon:  0.2222
Frame: 5940: Episode: 166, R100:  26.59, MaxR:  119.00, R:  13.00, FPS:  863.2, L100:  0.00, Epsilon:  0.2221
Frame: 5950: Episode: 167, R100:  25.68, MaxR:  119.00, R:  10.00, FPS:  857.1, L100:  0.00, Epsilon:  0.2221
Frame: 5962: Episode: 168, R100:  25.28, MaxR:  119.00, R:  12.00, FPS:  858.4, L100:  0.00, Epsilon:  0.2220
Frame: 5973: Episode: 169, R100:  24.98, MaxR:  119.00, R:  11.00, FPS:  847.9, L100:  0.00, Epsilon:  0.2220
Frame: 5983: Episode: 170, R100:  24.68, MaxR:  119.00, R:  10.00, FPS:  846.9, L100:  0.00, Epsilon:  0.2219
Frame: 5994: Episode: 171, R100:  24.07, MaxR:  119.00, R:  11.00, FPS:  865.6, L100:  0.00, Epsilon:  0.2219
Frame: 6009: Episode: 172, R100:  23.03, MaxR:  119.00, R:  15.00, FPS:  869.7, L100:  0.07, Epsilon:  0.2218
Frame: 6019: Episode: 173, R100:  22.64, MaxR:  119.00, R:  10.00, FPS:  867.7, L100:  0.10, Epsilon:  0.2218
Frame: 6040: Episode: 174, R100:  22.49, MaxR:  119.00, R:  21.00, FPS:  869.0, L100:  0.12, Epsilon:  0.2217
Frame: 6072: Episode: 175, R100:  21.71, MaxR:  119.00, R:  32.00, FPS:  872.3, L100:  0.13, Epsilon:  0.2215
Frame: 6089: Episode: 176, R100:  21.48, MaxR:  119.00, R:  17.00, FPS:  862.1, L100:  0.13, Epsilon:  0.2215
Frame: 6105: Episode: 177, R100:  21.25, MaxR:  119.00, R:  16.00, FPS:  868.4, L100:  0.10, Epsilon:  0.2214
Frame: 6119: Episode: 178, R100:  20.75, MaxR:  119.00, R:  14.00, FPS:  868.1, L100:  0.04, Epsilon:  0.2213
Frame: 6131: Episode: 179, R100:  20.26, MaxR:  119.00, R:  12.00, FPS:  864.9, L100:  0.04, Epsilon:  0.2213
Frame: 6148: Episode: 180, R100:  19.74, MaxR:  119.00, R:  17.00, FPS:  860.9, L100:  0.03, Epsilon:  0.2212
Frame: 6157: Episode: 181, R100:  19.42, MaxR:  119.00, R:  9.00, FPS:  848.1, L100:  0.03, Epsilon:  0.2212
Frame: 6168: Episode: 182, R100:  18.79, MaxR:  119.00, R:  11.00, FPS:  860.0, L100:  0.03, Epsilon:  0.2211
Frame: 6177: Episode: 183, R100:  18.46, MaxR:  119.00, R:  9.00, FPS:  864.8, L100:  0.03, Epsilon:  0.2211
Frame: 6186: Episode: 184, R100:  17.98, MaxR:  119.00, R:  9.00, FPS:  861.4, L100:  0.03, Epsilon:  0.2210
Frame: 6195: Episode: 185, R100:  17.81, MaxR:  119.00, R:  9.00, FPS:  856.9, L100:  0.03, Epsilon:  0.2210
Frame: 6204: Episode: 186, R100:  17.60, MaxR:  119.00, R:  9.00, FPS:  871.2, L100:  0.03, Epsilon:  0.2209
Frame: 6215: Episode: 187, R100:  17.23, MaxR:  119.00, R:  11.00, FPS:  865.1, L100:  0.03, Epsilon:  0.2209
Frame: 6225: Episode: 188, R100:  16.97, MaxR:  119.00, R:  10.00, FPS:  875.4, L100:  0.03, Epsilon:  0.2209
