Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5076: Episode: 92, R100:  55.17, MaxR:  123.00, R:  102.00, FPS:  672.4, L100:  0.62, Epsilon:  0.2260
Frame: 5108: Episode: 93, R100:  54.92, MaxR:  123.00, R:  32.00, FPS:  530.1, L100:  0.42, Epsilon:  0.2258
Frame: 5159: Episode: 94, R100:  54.88, MaxR:  123.00, R:  51.00, FPS:  537.3, L100:  0.10, Epsilon:  0.2256
Frame: 5184: Episode: 95, R100:  54.57, MaxR:  123.00, R:  25.00, FPS:  528.5, L100:  0.05, Epsilon:  0.2255
Frame: 5210: Episode: 96, R100:  54.27, MaxR:  123.00, R:  26.00, FPS:  530.2, L100:  0.03, Epsilon:  0.2254
Frame: 5226: Episode: 97, R100:  53.88, MaxR:  123.00, R:  16.00, FPS:  528.3, L100:  0.02, Epsilon:  0.2253
Frame: 5247: Episode: 98, R100:  53.54, MaxR:  123.00, R:  21.00, FPS:  533.0, L100:  0.02, Epsilon:  0.2252
Frame: 5267: Episode: 99, R100:  53.20, MaxR:  123.00, R:  20.00, FPS:  528.1, L100:  0.02, Epsilon:  0.2251
Frame: 5286: Episode: 100, R100:  52.86, MaxR:  123.00, R:  19.00, FPS:  523.9, L100:  0.02, Epsilon:  0.2250
Frame: 5299: Episode: 101, R100:  52.57, MaxR:  123.00, R:  13.00, FPS:  536.0, L100:  0.02, Epsilon:  0.2250
Frame: 5316: Episode: 102, R100:  52.25, MaxR:  123.00, R:  17.00, FPS:  537.3, L100:  0.02, Epsilon:  0.2249
Frame: 5324: Episode: 103, R100:  51.94, MaxR:  123.00, R:  8.00, FPS:  536.7, L100:  0.02, Epsilon:  0.2248
Frame: 5334: Episode: 104, R100:  51.41, MaxR:  123.00, R:  10.00, FPS:  516.7, L100:  0.02, Epsilon:  0.2248
Frame: 5343: Episode: 105, R100:  50.95, MaxR:  123.00, R:  9.00, FPS:  540.0, L100:  0.02, Epsilon:  0.2248
Frame: 5351: Episode: 106, R100:  50.30, MaxR:  123.00, R:  8.00, FPS:  527.0, L100:  0.02, Epsilon:  0.2247
Frame: 5363: Episode: 107, R100:  49.93, MaxR:  123.00, R:  12.00, FPS:  538.7, L100:  0.02, Epsilon:  0.2247
Frame: 5372: Episode: 108, R100:  49.67, MaxR:  123.00, R:  9.00, FPS:  533.8, L100:  0.02, Epsilon:  0.2246
Frame: 5382: Episode: 109, R100:  48.98, MaxR:  123.00, R:  10.00, FPS:  532.2, L100:  0.02, Epsilon:  0.2246
Frame: 5392: Episode: 110, R100:  48.51, MaxR:  123.00, R:  10.00, FPS:  537.8, L100:  0.02, Epsilon:  0.2245
Frame: 5403: Episode: 111, R100:  47.79, MaxR:  123.00, R:  11.00, FPS:  526.7, L100:  0.02, Epsilon:  0.2245
Frame: 5413: Episode: 112, R100:  47.49, MaxR:  123.00, R:  10.00, FPS:  542.8, L100:  0.02, Epsilon:  0.2245
Frame: 5425: Episode: 113, R100:  46.69, MaxR:  123.00, R:  12.00, FPS:  535.6, L100:  0.02, Epsilon:  0.2244
Frame: 5437: Episode: 114, R100:  46.03, MaxR:  123.00, R:  12.00, FPS:  537.8, L100:  0.02, Epsilon:  0.2243
Frame: 5451: Episode: 115, R100:  45.68, MaxR:  123.00, R:  14.00, FPS:  531.8, L100:  0.03, Epsilon:  0.2243
Frame: 5461: Episode: 116, R100:  45.35, MaxR:  123.00, R:  10.00, FPS:  533.9, L100:  0.03, Epsilon:  0.2242
Frame: 5473: Episode: 117, R100:  44.84, MaxR:  123.00, R:  12.00, FPS:  526.0, L100:  0.03, Epsilon:  0.2242
Frame: 5482: Episode: 118, R100:  44.48, MaxR:  123.00, R:  9.00, FPS:  534.9, L100:  0.03, Epsilon:  0.2241
Frame: 5491: Episode: 119, R100:  43.94, MaxR:  123.00, R:  9.00, FPS:  525.9, L100:  0.03, Epsilon:  0.2241
Frame: 5499: Episode: 120, R100:  43.24, MaxR:  123.00, R:  8.00, FPS:  523.9, L100:  0.03, Epsilon:  0.2241
Frame: 5510: Episode: 121, R100:  42.43, MaxR:  123.00, R:  11.00, FPS:  523.9, L100:  0.03, Epsilon:  0.2240
Frame: 5519: Episode: 122, R100:  41.89, MaxR:  123.00, R:  9.00, FPS:  514.5, L100:  0.03, Epsilon:  0.2240
Frame: 5532: Episode: 123, R100:  41.66, MaxR:  123.00, R:  13.00, FPS:  535.4, L100:  0.03, Epsilon:  0.2239
Frame: 5541: Episode: 124, R100:  41.27, MaxR:  123.00, R:  9.00, FPS:  525.3, L100:  0.03, Epsilon:  0.2239
Frame: 5551: Episode: 125, R100:  40.37, MaxR:  123.00, R:  10.00, FPS:  536.0, L100:  0.03, Epsilon:  0.2238
Frame: 5559: Episode: 126, R100:  39.98, MaxR:  123.00, R:  8.00, FPS:  521.4, L100:  0.04, Epsilon:  0.2238
Frame: 5569: Episode: 127, R100:  39.66, MaxR:  123.00, R:  10.00, FPS:  530.9, L100:  0.04, Epsilon:  0.2238
