Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 10555: Episode: 274, R100:  38.58, MaxR:  106.00, R:  9.00, FPS:  495.8, L100:  0.03, Epsilon:  0.1299
Frame: 10566: Episode: 275, R100:  37.76, MaxR:  106.00, R:  11.00, FPS:  504.8, L100:  0.03, Epsilon:  0.1296
Frame: 10575: Episode: 276, R100:  36.79, MaxR:  106.00, R:  9.00, FPS:  488.8, L100:  0.03, Epsilon:  0.1294
Frame: 10586: Episode: 277, R100:  36.51, MaxR:  106.00, R:  11.00, FPS:  511.6, L100:  0.03, Epsilon:  0.1292
Frame: 10600: Episode: 278, R100:  36.39, MaxR:  106.00, R:  14.00, FPS:  498.5, L100:  0.03, Epsilon:  0.1288
Frame: 10611: Episode: 279, R100:  36.01, MaxR:  106.00, R:  11.00, FPS:  504.2, L100:  0.03, Epsilon:  0.1286
Frame: 10622: Episode: 280, R100:  35.47, MaxR:  106.00, R:  11.00, FPS:  507.7, L100:  0.03, Epsilon:  0.1283
Frame: 10632: Episode: 281, R100:  34.89, MaxR:  106.00, R:  10.00, FPS:  509.9, L100:  0.04, Epsilon:  0.1281
Frame: 10640: Episode: 282, R100:  34.02, MaxR:  106.00, R:  8.00, FPS:  509.0, L100:  0.04, Epsilon:  0.1279
Frame: 10649: Episode: 283, R100:  33.48, MaxR:  106.00, R:  9.00, FPS:  501.1, L100:  0.04, Epsilon:  0.1277
Frame: 10661: Episode: 284, R100:  33.26, MaxR:  106.00, R:  12.00, FPS:  505.1, L100:  0.04, Epsilon:  0.1274
Frame: 10674: Episode: 285, R100:  32.98, MaxR:  106.00, R:  13.00, FPS:  503.8, L100:  0.04, Epsilon:  0.1271
Frame: 10686: Episode: 286, R100:  32.25, MaxR:  106.00, R:  12.00, FPS:  495.7, L100:  0.04, Epsilon:  0.1268
Frame: 10695: Episode: 287, R100:  32.00, MaxR:  106.00, R:  9.00, FPS:  503.9, L100:  0.04, Epsilon:  0.1266
Frame: 10709: Episode: 288, R100:  31.29, MaxR:  106.00, R:  14.00, FPS:  502.4, L100:  0.04, Epsilon:  0.1263
Frame: 10719: Episode: 289, R100:  30.70, MaxR:  106.00, R:  10.00, FPS:  499.4, L100:  0.04, Epsilon:  0.1260
Frame: 10730: Episode: 290, R100:  30.20, MaxR:  106.00, R:  11.00, FPS:  509.7, L100:  0.05, Epsilon:  0.1258
Frame: 10740: Episode: 291, R100:  29.76, MaxR:  106.00, R:  10.00, FPS:  508.5, L100:  0.05, Epsilon:  0.1256
Frame: 10749: Episode: 292, R100:  29.43, MaxR:  106.00, R:  9.00, FPS:  505.5, L100:  0.05, Epsilon:  0.1253
Frame: 10759: Episode: 293, R100:  28.80, MaxR:  106.00, R:  10.00, FPS:  505.2, L100:  0.05, Epsilon:  0.1251
