Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5059: Episode: 89, R100:  56.84, MaxR:  128.00, R:  58.00, FPS:  536.0, L100:  1.20, Epsilon:  0.2260
Frame: 5099: Episode: 90, R100:  56.66, MaxR:  128.00, R:  40.00, FPS:  546.3, L100:  1.15, Epsilon:  0.2259
Frame: 5229: Episode: 91, R100:  57.46, MaxR:  130.00, R:  130.00, FPS:  545.6, L100:  0.87, Epsilon:  0.2253
Frame: 5262: Episode: 92, R100:  57.20, MaxR:  130.00, R:  33.00, FPS:  541.8, L100:  0.81, Epsilon:  0.2251
Frame: 5415: Episode: 93, R100:  58.23, MaxR:  153.00, R:  153.00, FPS:  548.0, L100:  0.62, Epsilon:  0.2244
Frame: 5476: Episode: 94, R100:  58.26, MaxR:  153.00, R:  61.00, FPS:  547.1, L100:  0.57, Epsilon:  0.2242
Frame: 5507: Episode: 95, R100:  57.97, MaxR:  153.00, R:  31.00, FPS:  541.6, L100:  0.55, Epsilon:  0.2240
Frame: 5562: Episode: 96, R100:  57.94, MaxR:  153.00, R:  55.00, FPS:  542.7, L100:  0.52, Epsilon:  0.2238
Frame: 5597: Episode: 97, R100:  57.70, MaxR:  153.00, R:  35.00, FPS:  541.6, L100:  0.50, Epsilon:  0.2236
Frame: 5624: Episode: 98, R100:  57.39, MaxR:  153.00, R:  27.00, FPS:  543.1, L100:  0.49, Epsilon:  0.2235
Frame: 5655: Episode: 99, R100:  57.12, MaxR:  153.00, R:  31.00, FPS:  552.4, L100:  0.48, Epsilon:  0.2234
Frame: 5693: Episode: 100, R100:  56.93, MaxR:  153.00, R:  38.00, FPS:  544.3, L100:  0.47, Epsilon:  0.2232
Frame: 5733: Episode: 101, R100:  56.90, MaxR:  153.00, R:  40.00, FPS:  555.2, L100:  0.46, Epsilon:  0.2230
Frame: 5790: Episode: 102, R100:  56.79, MaxR:  153.00, R:  57.00, FPS:  535.8, L100:  0.44, Epsilon:  0.2228
Frame: 5830: Episode: 103, R100:  56.39, MaxR:  153.00, R:  40.00, FPS:  539.9, L100:  0.44, Epsilon:  0.2226
Frame: 5858: Episode: 104, R100:  56.18, MaxR:  153.00, R:  28.00, FPS:  545.3, L100:  0.43, Epsilon:  0.2225
Frame: 5884: Episode: 105, R100:  55.91, MaxR:  153.00, R:  26.00, FPS:  539.2, L100:  0.43, Epsilon:  0.2224
Frame: 5917: Episode: 106, R100:  55.87, MaxR:  153.00, R:  33.00, FPS:  542.9, L100:  0.42, Epsilon:  0.2222
Frame: 5958: Episode: 107, R100:  55.24, MaxR:  153.00, R:  41.00, FPS:  544.5, L100:  0.41, Epsilon:  0.2220
Frame: 5986: Episode: 108, R100:  55.23, MaxR:  153.00, R:  28.00, FPS:  538.1, L100:  0.41, Epsilon:  0.2219
Frame: 6017: Episode: 109, R100:  54.26, MaxR:  153.00, R:  31.00, FPS:  543.8, L100:  0.41, Epsilon:  0.2218
Frame: 6048: Episode: 110, R100:  54.04, MaxR:  153.00, R:  31.00, FPS:  544.4, L100:  0.40, Epsilon:  0.2216
Frame: 6079: Episode: 111, R100:  53.85, MaxR:  153.00, R:  31.00, FPS:  542.5, L100:  0.40, Epsilon:  0.2215
Frame: 6109: Episode: 112, R100:  53.32, MaxR:  153.00, R:  30.00, FPS:  532.8, L100:  0.39, Epsilon:  0.2214
Frame: 6136: Episode: 113, R100:  52.75, MaxR:  153.00, R:  27.00, FPS:  545.7, L100:  0.39, Epsilon:  0.2212
Frame: 6155: Episode: 114, R100:  52.73, MaxR:  153.00, R:  19.00, FPS:  536.3, L100:  0.38, Epsilon:  0.2212
Frame: 6190: Episode: 115, R100:  52.65, MaxR:  153.00, R:  35.00, FPS:  538.4, L100:  0.38, Epsilon:  0.2210
Frame: 6223: Episode: 116, R100:  52.61, MaxR:  153.00, R:  33.00, FPS:  543.2, L100:  0.38, Epsilon:  0.2209
Frame: 6253: Episode: 117, R100:  52.35, MaxR:  153.00, R:  30.00, FPS:  542.4, L100:  0.37, Epsilon:  0.2207
Frame: 6279: Episode: 118, R100:  51.88, MaxR:  153.00, R:  26.00, FPS:  526.9, L100:  0.37, Epsilon:  0.2206
Frame: 6304: Episode: 119, R100:  51.78, MaxR:  153.00, R:  25.00, FPS:  532.8, L100:  0.37, Epsilon:  0.2205
Frame: 6325: Episode: 120, R100:  51.50, MaxR:  153.00, R:  21.00, FPS:  532.6, L100:  0.37, Epsilon:  0.2204
Frame: 6353: Episode: 121, R100:  51.17, MaxR:  153.00, R:  28.00, FPS:  533.3, L100:  0.37, Epsilon:  0.2203
Frame: 6375: Episode: 122, R100:  50.92, MaxR:  153.00, R:  22.00, FPS:  539.9, L100:  0.36, Epsilon:  0.2202
Frame: 6396: Episode: 123, R100:  50.21, MaxR:  153.00, R:  21.00, FPS:  526.1, L100:  0.36, Epsilon:  0.2201
Frame: 6416: Episode: 124, R100:  49.87, MaxR:  153.00, R:  20.00, FPS:  537.4, L100:  0.36, Epsilon:  0.2200
Frame: 6442: Episode: 125, R100:  49.66, MaxR:  153.00, R:  26.00, FPS:  530.0, L100:  0.36, Epsilon:  0.2199
Frame: 6460: Episode: 126, R100:  49.43, MaxR:  153.00, R:  18.00, FPS:  520.6, L100:  0.36, Epsilon:  0.2198
Frame: 6484: Episode: 127, R100:  49.08, MaxR:  153.00, R:  24.00, FPS:  538.3, L100:  0.36, Epsilon:  0.2197
Frame: 6510: Episode: 128, R100:  48.66, MaxR:  153.00, R:  26.00, FPS:  540.3, L100:  0.36, Epsilon:  0.2196
Frame: 6525: Episode: 129, R100:  48.22, MaxR:  153.00, R:  15.00, FPS:  526.2, L100:  0.36, Epsilon:  0.2195
Frame: 6542: Episode: 130, R100:  48.01, MaxR:  153.00, R:  17.00, FPS:  528.7, L100:  0.36, Epsilon:  0.2195
Frame: 6559: Episode: 131, R100:  47.68, MaxR:  153.00, R:  17.00, FPS:  531.3, L100:  0.36, Epsilon:  0.2194
Frame: 6577: Episode: 132, R100:  47.47, MaxR:  153.00, R:  18.00, FPS:  525.8, L100:  0.36, Epsilon:  0.2193
Frame: 6594: Episode: 133, R100:  47.31, MaxR:  153.00, R:  17.00, FPS:  529.8, L100:  0.36, Epsilon:  0.2192
Frame: 6611: Episode: 134, R100:  46.85, MaxR:  153.00, R:  17.00, FPS:  523.8, L100:  0.36, Epsilon:  0.2192
Frame: 6631: Episode: 135, R100:  46.40, MaxR:  153.00, R:  20.00, FPS:  525.0, L100:  0.36, Epsilon:  0.2191
Frame: 6645: Episode: 136, R100:  46.20, MaxR:  153.00, R:  14.00, FPS:  526.9, L100:  0.35, Epsilon:  0.2190
Frame: 6658: Episode: 137, R100:  45.64, MaxR:  153.00, R:  13.00, FPS:  531.9, L100:  0.35, Epsilon:  0.2190
Frame: 6673: Episode: 138, R100:  45.33, MaxR:  153.00, R:  15.00, FPS:  527.9, L100:  0.36, Epsilon:  0.2189
Frame: 6689: Episode: 139, R100:  45.18, MaxR:  153.00, R:  16.00, FPS:  529.0, L100:  0.36, Epsilon:  0.2188
Frame: 6708: Episode: 140, R100:  44.97, MaxR:  153.00, R:  19.00, FPS:  528.1, L100:  0.36, Epsilon:  0.2187
Frame: 6727: Episode: 141, R100:  44.11, MaxR:  153.00, R:  19.00, FPS:  527.8, L100:  0.36, Epsilon:  0.2187
Frame: 6738: Episode: 142, R100:  43.85, MaxR:  153.00, R:  11.00, FPS:  525.1, L100:  0.36, Epsilon:  0.2186
Frame: 6756: Episode: 143, R100:  43.09, MaxR:  153.00, R:  18.00, FPS:  538.0, L100:  0.37, Epsilon:  0.2185
Frame: 6769: Episode: 144, R100:  42.36, MaxR:  153.00, R:  13.00, FPS:  528.8, L100:  0.37, Epsilon:  0.2185
Frame: 6782: Episode: 145, R100:  41.86, MaxR:  153.00, R:  13.00, FPS:  531.2, L100:  0.37, Epsilon:  0.2184
Frame: 6794: Episode: 146, R100:  41.55, MaxR:  153.00, R:  12.00, FPS:  528.6, L100:  0.37, Epsilon:  0.2184
Frame: 6809: Episode: 147, R100:  41.30, MaxR:  153.00, R:  15.00, FPS:  541.0, L100:  0.38, Epsilon:  0.2183
Frame: 6823: Episode: 148, R100:  40.73, MaxR:  153.00, R:  14.00, FPS:  527.3, L100:  0.38, Epsilon:  0.2182
Frame: 6835: Episode: 149, R100:  39.86, MaxR:  153.00, R:  12.00, FPS:  516.8, L100:  0.38, Epsilon:  0.2182
Frame: 6848: Episode: 150, R100:  39.59, MaxR:  153.00, R:  13.00, FPS:  527.8, L100:  0.38, Epsilon:  0.2181
Frame: 6860: Episode: 151, R100:  39.36, MaxR:  153.00, R:  12.00, FPS:  527.6, L100:  0.39, Epsilon:  0.2181
Frame: 6871: Episode: 152, R100:  38.70, MaxR:  153.00, R:  11.00, FPS:  524.8, L100:  0.39, Epsilon:  0.2180
Frame: 6883: Episode: 153, R100:  38.43, MaxR:  153.00, R:  12.00, FPS:  528.9, L100:  0.39, Epsilon:  0.2180
Frame: 6895: Episode: 154, R100:  38.05, MaxR:  153.00, R:  12.00, FPS:  531.9, L100:  0.39, Epsilon:  0.2179
