Training on GPU
DqnNetSingleLayer(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
Frame: 5789: Episode: 136, R100:  39.95, MaxR:  142.00, R:  32.00, FPS:  536.8, L100:  0.04, Epsilon:  0.2228
Frame: 5805: Episode: 137, R100:  39.77, MaxR:  142.00, R:  16.00, FPS:  541.6, L100:  0.04, Epsilon:  0.2227
Frame: 5885: Episode: 138, R100:  40.12, MaxR:  142.00, R:  80.00, FPS:  546.0, L100:  0.04, Epsilon:  0.2224
Frame: 5919: Episode: 139, R100:  39.59, MaxR:  142.00, R:  34.00, FPS:  536.1, L100:  0.04, Epsilon:  0.2222
Frame: 5929: Episode: 140, R100:  38.84, MaxR:  142.00, R:  10.00, FPS:  533.5, L100:  0.05, Epsilon:  0.2222
Frame: 6029: Episode: 141, R100:  39.51, MaxR:  142.00, R:  100.00, FPS:  537.7, L100:  0.05, Epsilon:  0.2217
Frame: 6130: Episode: 142, R100:  39.10, MaxR:  142.00, R:  101.00, FPS:  539.1, L100:  0.06, Epsilon:  0.2213
Frame: 6180: Episode: 143, R100:  39.23, MaxR:  142.00, R:  50.00, FPS:  537.3, L100:  0.07, Epsilon:  0.2210
Frame: 6237: Episode: 144, R100:  39.19, MaxR:  142.00, R:  57.00, FPS:  538.8, L100:  0.07, Epsilon:  0.2208
Frame: 6295: Episode: 145, R100:  39.39, MaxR:  142.00, R:  58.00, FPS:  536.0, L100:  0.07, Epsilon:  0.2205
Frame: 6310: Episode: 146, R100:  39.10, MaxR:  142.00, R:  15.00, FPS:  541.9, L100:  0.07, Epsilon:  0.2205
Frame: 6362: Episode: 147, R100:  39.11, MaxR:  142.00, R:  52.00, FPS:  539.3, L100:  0.08, Epsilon:  0.2203
Frame: 6462: Episode: 148, R100:  39.71, MaxR:  142.00, R:  100.00, FPS:  540.7, L100:  0.09, Epsilon:  0.2198
Frame: 6593: Episode: 149, R100:  40.28, MaxR:  142.00, R:  131.00, FPS:  538.2, L100:  0.10, Epsilon:  0.2192
Frame: 6667: Episode: 150, R100:  40.77, MaxR:  142.00, R:  74.00, FPS:  535.3, L100:  0.10, Epsilon:  0.2189
Frame: 6848: Episode: 151, R100:  42.04, MaxR:  181.00, R:  181.00, FPS:  537.5, L100:  0.12, Epsilon:  0.2181
Frame: 7032: Episode: 152, R100:  43.23, MaxR:  184.00, R:  184.00, FPS:  539.6, L100:  0.12, Epsilon:  0.2173
Frame: 7129: Episode: 153, R100:  43.39, MaxR:  184.00, R:  97.00, FPS:  539.8, L100:  0.15, Epsilon:  0.2169
Frame: 7329: Episode: 154, R100:  44.63, MaxR:  200.00, R:  200.00, FPS:  536.3, L100:  0.15, Epsilon:  0.2161
Frame: 7532: Episode: 155, R100:  46.06, MaxR:  203.00, R:  203.00, FPS:  535.8, L100:  0.19, Epsilon:  0.2152
Frame: 7689: Episode: 156, R100:  47.23, MaxR:  203.00, R:  157.00, FPS:  533.8, L100:  0.21, Epsilon:  0.2145
Frame: 7841: Episode: 157, R100:  48.18, MaxR:  203.00, R:  152.00, FPS:  531.0, L100:  0.23, Epsilon:  0.2139
Frame: 7999: Episode: 158, R100:  49.32, MaxR:  203.00, R:  158.00, FPS:  533.6, L100:  0.24, Epsilon:  0.2132
Frame: 8156: Episode: 159, R100:  50.50, MaxR:  203.00, R:  157.00, FPS:  534.8, L100:  0.28, Epsilon:  0.2125
Frame: 8322: Episode: 160, R100:  51.70, MaxR:  203.00, R:  166.00, FPS:  534.0, L100:  0.31, Epsilon:  0.2118
